Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
vYYNLvZo1LY,"[현장스케치] 김동연 대선 예비후보, 새해 첫 일정 - 민생을 만나다","Jan 1, 2022",6,0.0995,0,345,0.87
wZk5bL35uHo,[현장스케치]여의도 앞 붕어빵 장소,"Dec 24, 2021",9,0.1528,0,326,1.53
wanrmSLsgis,“공부 조금 덜 해도 좋다”  전 대학총장이 말하는 입시제도에 대한 생각 #shorts,"Sep 25, 2021",1,0.0124,0,8,0
wek2JcLpdXs,김동연 대통령 예비후보 새해인사,"Jan 31, 2022",25,0.289,0,865,2.08
wwgceOtQlx8,대변인  AI 아바타 AiDY(에이디),"Dec 7, 2021",5,0.0585,0,63,4.76
xEXKzczKIZA,세계은행에서 근무한 김동연 후보의 영어실력은? #shorts,"Nov 25, 2021",11,0.0946,0,20,15
xi4keRbAAzk,[하이라이트] 김동연이 대선에 나설 수 밖에 없는 이유 | KBS 더라이브 하이라이트 | 김동연TV,"Sep 15, 2021",14,1.4799,0,123,7.32
xp-4smAm0v4,결혼이야기 EP 1. 첫만남편 - 김동연의 흑심,"Dec 21, 2021",20,0.4615,0,138,10.14
y5vauk81Tu8,안철수 후보와 제3지대 단일화 하시나요?,"Nov 1, 2021",1,0.0166,0,7,14.29
yJOgC79e4KM,김동연 대통령선거 도전 관련 입장 발표 | 충북 음성군 음성읍 행정복지센터,"Sep 14, 2021",2,0.0205,0,41,4.88
ygww-DkX_Ac,[故 김영삼대통령 서거 6주기 추모식]김영삼대통령님의 뜻과 신념을 다시 한번 새기겠습니다 | 김동연TV,"Nov 27, 2021",2,0.0483,0,53,1.89
ysTvBwSsz2A,"그때 그영상 《1》 , 김동연VS심재철 #shorts","Oct 1, 2021",6,0.0835,0,8,37.5
zDcD6qUkgac,[100초만에 보는 충북 일정] 어릴 적 추억이 가득한 청주 육거리시장에 다녀왔습니다 | 김동연TV,"Oct 22, 2021",2,0.0437,0,19,0
-8VIK2and1E,[LIVE김동연]21.12.11 경기지구청년회의소 지구회원대회 참석,"Dec 11, 2021",,,,47,0
0EySY9-gdG0,"""대통령님, 커피값이 오르는데 커피 먹는 사람이 줄지 않겠습니까?"" (feat.최저임금인상)","Nov 2, 2021",,,,7,0
1k6q6hridiM,누군가는 국가를 위해서 제소리를 내야합니다,"Oct 14, 2021",,,,3,0
3aAkxqwpumc,김동연이 꼽은 대한민국 문제 1순위 ‘승자독식구조’ #Shorts,"Aug 9, 2021",,,,10,0
7HNtTTcHYLE,이재명 후보의 '기본시리즈' 대폭 수정해야,"Oct 1, 2021",,,,2,0
87_YwZryXDA,대장동 의혹이 생긴 이유 :  '기득권 카르텔' #shorts,"Oct 1, 2021",,,,3,0
8Fpqdirkzrg,"MZ세대와의 대화, 기성세대로서 반성하고 공감합니다 | 김동연TV","Oct 18, 2021",,,,17,0
9l-KBXrWxOY,부동산 '벼락거지'를 없애야 합니다,"Oct 5, 2021",,,,4,0
Aeg9ozDyc7o,"MZ세대의 분노, 기성세대로서 반성하고 공감","Oct 18, 2021",,,,11,0
QuRzLBQJsUM,우리의 진짜 문제는 무엇일까? (대한고등학교 이야기) #Shorts,"Aug 11, 2021",,,,8,0
